r_1,q_1,x_1,r_2,q_2,x_2,MM,lnPvap,Method,substance_1,substance_2,FP
3.9243,3.668,0.2,9.2518,7.756,0.8,175.08,5.32,0,butanol,ethyl decanoate,330.33
3.9243,3.668,0.2,10.6006,8.836,0.8,197.52,5.31,0,butanol,ethyl laurate,330.08
3.9243,3.668,0.2,11.9494,9.916,0.8,219.96,5.31,0,butanol,ethyl myristate,331.47
3.9243,3.668,0.2,13.2982,10.996,0.8,242.41,5.31,0,butanol,ethyl palmitate,336.0
2.5755,2.588,0.3,5.8486,4.936,0.7,91.98,8.286935,1,ethanol,octane,278.15
4.531,3.976,0.3,5.8486,4.936,0.7,110.6,7.215687,1,methyl butyrate,octane,282.55
4.531,3.976,0.3,2.5755,2.588,0.7,58.69,8.725393,1,methyl butyrate,ethanol,280.25
4.531,3.976,0.3,5.8486,4.936,0.7,110.6,7.212301,1,propyl acetate,octane,282.55
4.531,3.976,0.3,2.5755,2.588,0.7,58.69,8.724646,1,propyl acetate,ethanol,280.25
2.5755,2.588,0.37,8.5462,7.096,0.63,122.14,8.09,0,ethanol,dodecane,290.4
7.2286,6.136,0.4,8.5774,7.216,0.6,175.07,3.31,0,methyl octanoate,methyl decanoate,360.6
7.2286,6.136,0.4,9.9262,8.296,0.6,191.9,3.18,0,methyl octanoate,methyl laurate,364.6
7.2286,6.136,0.4,11.275,9.376,0.6,208.73,3.16,0,methyl octanoate,methyl myristate,366.7
7.2286,6.136,0.4,12.6238,10.456,0.6,225.57,3.16,0,methyl octanoate,methyl palmitate,366.9
7.2286,6.136,0.4,13.9726,11.536,0.6,242.4,3.16,0,methyl octanoate,methyl stearate,367.5
7.2286,6.136,0.4,13.7405,11.323,0.6,241.19,3.16,0,methyl octanoate,methyl oleate,367.8
8.5774,7.216,0.4,9.9262,8.296,0.6,203.12,1.06,0,methyl decanoate,methyl laurate,385.4
8.5774,7.216,0.4,11.275,9.376,0.6,219.95,0.93,0,methyl decanoate,methyl myristate,389.9
8.5774,7.216,0.4,12.6238,10.456,0.6,236.79,0.91,0,methyl decanoate,methyl palmitate,391.4
8.5774,7.216,0.4,13.9726,11.536,0.6,253.62,0.91,0,methyl decanoate,methyl stearate,393.7
8.5774,7.216,0.4,13.7405,11.323,0.6,252.41,0.91,0,methyl decanoate,methyl oleate,392.8
9.9262,8.296,0.4,11.275,9.376,0.6,231.18,-1.21,0,methyl laurate,methyl myristate,407.6
9.9262,8.296,0.4,12.6238,10.456,0.6,248.01,-1.34,0,methyl laurate,methyl palmitate,413.9
9.9262,8.296,0.4,13.9726,11.536,0.6,264.84,-1.35,0,methyl laurate,methyl stearate,415.5
9.9262,8.296,0.4,13.7405,11.323,0.6,263.63,-1.35,0,methyl laurate,methyl oleate,415.2
11.275,9.376,0.4,12.6238,10.456,0.6,259.23,-3.48,0,methyl myristate,methyl palmitate,429.6
11.275,9.376,0.4,13.9726,11.536,0.6,276.06,-3.61,0,methyl myristate,methyl stearate,435.0
11.275,9.376,0.4,13.7405,11.323,0.6,274.85,-3.6,0,methyl myristate,methyl oleate,432.8
12.6238,10.456,0.4,13.9726,11.536,0.6,287.28,-5.77,0,methyl palmitate,methyl stearate,448.3
7.903,6.676,0.4,10.6006,8.836,0.6,205.93,2.17,0,ethyl octanoate,ethyl laurate,371.0
7.903,6.676,0.4,11.9494,9.916,0.6,222.76,2.16,0,ethyl octanoate,ethyl myristate,372.6
7.903,6.676,0.4,13.2982,10.996,0.6,239.59,2.16,0,ethyl octanoate,ethyl palmitate,373.3
7.903,6.676,0.4,14.647,12.076,0.6,256.42,2.16,0,ethyl octanoate,ethyl stearate,374.0
7.903,6.676,0.4,14.4149,11.863,0.6,255.21,2.16,0,ethyl octanoate,ethyl oleate,374.1
7.903,6.676,0.4,14.1828,11.65,0.6,254.01,2.16,0,ethyl octanoate,ethyl linoleate,374.1
9.2518,7.756,0.4,11.9494,9.916,0.6,233.98,-0.08,0,ethyl decanoate,ethyl myristate,395.8
9.2518,7.756,0.4,13.2982,10.996,0.6,250.81,-0.1,0,ethyl decanoate,ethyl palmitate,397.7
