r_1,q_1,x_1,r_2,q_2,x_2,T,gamma_1,gamma_2
3.1878,2.4,0.4,3.9228,2.968,0.6,305,0.983835,0.994065
3.1878,2.4,0.6,3.9228,2.968,0.4,305,0.992197,0.985621
3.1878,2.4,0.8,3.9228,2.968,0.2,305,0.997879,0.97245
3.1878,2.4,1.0,3.9228,2.968,0.0,305,1.0,0.953608
3.1878,2.4,0.0,3.9228,2.968,1.0,310,0.962692,1.0
3.1878,2.4,0.2,3.9228,2.968,0.8,310,0.97421,0.998654
3.1878,2.4,0.4,3.9228,2.968,0.6,310,0.984298,0.994215
3.1878,2.4,0.6,3.9228,2.968,0.4,310,0.992433,0.986003
3.1878,2.4,0.8,3.9228,2.968,0.2,310,0.997946,0.973219
3.1878,2.4,1.0,3.9228,2.968,0.0,310,1.0,0.954966
3.1878,2.4,0.0,3.9228,2.968,1.0,315,0.963631,1.0
3.1878,2.4,0.2,3.9228,2.968,0.8,315,0.974891,0.998685
3.1878,2.4,0.4,3.9228,2.968,0.6,315,0.984733,0.994358
3.1878,2.4,0.6,3.9228,2.968,0.4,315,0.992654,0.986364
3.1878,2.4,0.8,3.9228,2.968,0.2,315,0.998009,0.973942
3.1878,2.4,1.0,3.9228,2.968,0.0,315,1.0,0.956242
3.9228,2.968,0.0,3.1878,2.4,1.0,305,0.953608,1.0
3.9228,2.968,0.2,3.1878,2.4,0.8,305,0.97245,0.997879
3.9228,2.968,0.4,3.1878,2.4,0.6,305,0.985621,0.992197
3.9228,2.968,0.6,3.1878,2.4,0.4,305,0.994065,0.983835
3.9228,2.968,0.8,3.1878,2.4,0.2,305,0.99862,0.973487
3.9228,2.968,1.0,3.1878,2.4,0.0,305,1.0,0.961696
3.9228,2.968,0.0,3.1878,2.4,1.0,310,0.954966,1.0
3.9228,2.968,0.2,3.1878,2.4,0.8,310,0.973219,0.997946
3.9228,2.968,0.4,3.1878,2.4,0.6,310,0.986003,0.992433
3.9228,2.968,0.6,3.1878,2.4,0.4,310,0.994215,0.984298
3.9228,2.968,0.8,3.1878,2.4,0.2,310,0.998654,0.97421
3.9228,2.968,1.0,3.1878,2.4,0.0,310,1.0,0.962692
3.9228,2.968,0.0,3.1878,2.4,1.0,315,0.956242,1.0
3.9228,2.968,0.2,3.1878,2.4,0.8,315,0.973942,0.998009
